time,Mestput_2,2dagen,3dagen,4dagen,5dagen,EVHI
1-9-2021,36.64,72.29,119.83,144.99,206.75,755.78
2-9-2021,33.76,70.4,106.05,156.47,181.63,742.39
3-9-2021,31.63,65.39,102.03,139.81,190.23,852.95
4-9-2021,28.32,59.95,93.71,133.66,171.44,764.22
5-9-2021,19.9,48.22,79.85,122.03,161.98,636.64
6-9-2021,23.05,42.95,71.27,99.75,141.93,698.5
7-9-2021,25.65,48.7,68.6,94.32,122.8,685.55
8-9-2021,22.24,47.89,70.94,94.25,119.97,650.33
9-9-2021,32.38,54.62,80.27,93.18,116.49,679.69
10-9-2021,27.08,59.46,81.7,112.65,125.56,682.97
11-9-2021,42.56,69.64,102.02,108.78,139.73,786.31
12-9-2021,43.47,86.03,113.11,144.58,151.34,727.66
13-9-2021,33.34,76.81,119.37,156.58,188.05,796.22
14-9-2021,21.35,54.69,98.16,152.71,189.92,718.06
15-9-2021,62.91,84.26,117.6,119.51,174.06,768.23
16-9-2021,19.7,82.61,103.96,180.51,182.42,715.81
17-9-2021,24.07,43.77,106.68,123.66,200.21,675.89
18-9-2021,34.71,58.78,78.48,130.75,147.73,678.69
19-9-2021,37.79,72.5,96.57,113.19,165.46,788.98
20-9-2021,15.98,53.77,88.48,134.36,150.98,691.585
21-9-2021,23.38,39.36,77.15,104.46,150.34,594.19
22-9-2021,39.1,62.48,78.46,100.53,127.84,723.62
23-9-2021,38.63,77.73,101.11,117.56,139.63,778.81
24-9-2021,34.44,73.07,112.17,139.74,156.19,734.42
25-9-2021,36,70.44,109.07,146.61,174.18,793.3
26-9-2021,44.21,80.21,114.65,145.07,182.61,747.42
27-9-2021,38.57,82.78,118.78,158.86,189.28,670.09
28-9-2021,25.13,63.7,107.91,157.35,197.43,816.3
29-9-2021,33.42,58.55,97.12,133.04,182.48,604.88
30-9-2021,22.57,55.99,81.12,130.54,166.46,732.17
1-10-2021,21.2,43.77,77.19,103.69,153.11,634.62
2-10-2021,40.31,61.51,84.08,98.39,124.89,677.77
3-10-2021,24.82,65.13,86.33,124.39,138.7,789.75
4-10-2021,27.81,52.63,92.94,111.15,149.21,643
5-10-2021,28.7,56.51,81.33,120.75,138.96,675.34
6-10-2021,61.99,90.69,118.5,110.03,149.45,749.2
7-10-2021,37.93,99.92,128.62,180.49,172.02,689.825
8-10-2021,31.47,69.4,131.39,166.55,218.42,6.601.375
9-10-2021,35.74,67.21,105.14,162.86,198.02,630.45
10-10-2021,36.9,72.64,104.11,140.88,198.6,792.97
11-10-2021,23.5,60.4,96.14,141.01,177.78,695.55
12-10-2021,19.54,43.04,79.94,119.64,164.51,690.81
13-10-2021,10.94,30.48,53.98,99.48,139.18,575.86
14-10-2021,35.36,46.3,65.84,64.92,110.42,587.92
15-10-2021,30.9,66.26,77.2,101.2,100.28,620.11
16-10-2021,43.4,74.3,109.66,108.1,132.1,741.53
17-10-2021,52.29,95.69,126.59,153.06,151.5,732
18-10-2021,46.55,98.84,142.24,178.88,205.35,751.12
19-10-2021,40.84,87.39,139.68,188.79,225.43,804.91
20-10-2021,39.46,80.3,126.85,180.52,229.63,621.5
21-10-2021,44.21,83.67,124.51,166.31,219.98,761.36
22-10-2021,31.94,76.15,115.61,168.72,210.52,799.62
23-10-2021,43.97,75.91,120.12,147.55,200.66,720.81
24-10-2021,48.59,92.56,124.5,164.09,191.52,839.72
25-10-2021,59.65,108.24,152.21,173.09,212.68,837.2
26-10-2021,59.54,119.19,167.78,211.86,232.74,776.39
27-10-2021,40.71,100.25,159.9,227.32,271.4,901.61
28-10-2021,31.95,72.66,132.2,200.61,268.03,854.14
29-10-2021,42.86,74.81,115.52,164.15,232.56,832.38
30-10-2021,16.68,59.54,91.49,158.38,207.01,810.39
31-10-2021,42.89,59.57,102.43,108.17,175.06,761.5
1-11-2021,16.88,59.77,76.45,145.32,151.06,748.22
2-11-2021,19.53,36.41,79.3,93.33,162.2,679.33
3-11-2021,60.8,80.33,97.21,98.83,112.86,760.67
4-11-2021,46.81,107.61,127.14,158.01,159.63,784.335
5-11-2021,51.42,98.23,159.03,173.95,204.82,808
6-11-2021,52.62,104.04,150.85,210.45,225.37,800.27
7-11-2021,47.3,99.92,151.34,203.47,263.07,815.2
8-11-2021,40.35,87.65,140.27,198.64,250.77,817.27
9-11-2021,36.2,76.55,123.85,180.62,238.99,809.25
10-11-2021,55.13,91.33,131.68,160.05,216.82,815.27
11-11-2021,37.89,93.02,129.22,186.81,215.18,827.62
12-11-2021,35.37,73.26,128.39,167.11,224.7,807.09
13-11-2021,34.99,70.36,108.25,163.76,202.48,801.5
14-11-2021,35.48,70.47,105.84,143.24,198.75,799.52
15-11-2021,41.83,77.31,112.3,141.32,178.72,790.16
16-11-2021,41.96,83.79,119.27,154.13,183.15,798.7
17-11-2021,43.91,85.87,127.7,161.23,196.09,803.59
18-11-2021,43.16,87.07,129.03,171.61,205.14,808.58
19-11-2021,35.38,78.54,122.45,172.19,214.77,818.36
20-11-2021,37.34,72.72,115.88,157.83,207.57,808.59
21-11-2021,15.59,52.93,88.31,153.22,195.17,797.19
22-11-2021,44.69,60.28,97.62,103.9,168.81,754.88
23-11-2021,46.22,90.91,106.5,142.31,148.59,789.12
24-11-2021,44.82,91.04,135.73,152.72,188.53,805.77
25-11-2021,40.11,84.93,131.15,180.55,197.54,811.2
26-11-2021,30.65,70.76,115.58,171.26,220.66,804.08
27-11-2021,47.78,78.43,118.54,146.23,201.91,799.73
28-11-2021,40.91,88.69,119.34,166.32,194.01,805.02
29-11-2021,57.73,98.64,146.42,160.25,207.23,803.12
30-11-2021,30.98,88.71,129.62,204.15,217.98,804.36
1-12-2021,42.86,73.84,131.57,160.6,235.13,622.16
2-12-2021,39.22,82.08,113.06,174.43,203.46,837.23
3-12-2021,39.96,79.18,122.04,152.28,213.65,784.45
4-12-2021,38.93,78.89,118.11,162,192.24,813.55
5-12-2021,39.89,78.82,118.78,157.04,200.93,786.83
7-12-2021,41.66,84.22,124.11,158.67,196.93,861.39
8-12-2021,42.62,84.28,126.84,165.77,200.33,771.7
9-12-2021,46.75,89.37,131.03,169.46,208.39,812.53
10-12-2021,45.7,92.45,135.07,177.78,216.21,792.86
11-12-2021,47.9,93.6,140.35,180.77,223.48,792.89
12-12-2021,48.49,96.39,142.09,188.25,228.67,875.45
13-12-2021,45.92,94.41,142.31,190.58,236.74,860.02
14-12-2021,34.7,80.62,129.11,188.23,236.5,835.48
15-12-2021,52.94,87.64,133.56,163.81,222.93,813.72
16-12-2021,46.8,99.74,134.44,186.5,216.75,789.44
17-12-2021,49.49,96.29,149.23,181.24,233.3,819.33
18-12-2021,38.58,88.07,134.87,198.72,230.73,822.84
19-12-2021,51.27,89.85,139.34,173.45,237.3,530.92
20-12-2021,45.65,96.92,135.5,190.61,224.72,550.14
21-12-2021,39.05,84.7,135.97,181.15,236.26,842.97
22-12-2021,22.58,61.63,107.28,175.02,220.2,757.77
23-12-2021,53.33,75.91,114.96,129.86,197.6,795.12
24-12-2021,19.37,72.7,95.28,168.29,183.19,723.69
25-12-2021,37.51,56.88,110.21,114.65,187.66,707.5
26-12-2021,31.64,69.15,88.52,147.72,152.16,766.94
27-12-2021,18.35,49.99,87.5,120.16,179.36,635.31
28-12-2021,42.94,61.29,92.93,105.85,138.51,691.47
29-12-2021,53.99,96.93,115.28,135.87,148.79,811.53
30-12-2021,42.03,96.02,138.96,169.27,189.86,801.72
31-12-2021,42.49,84.52,138.51,180.99,211.3,820.53
1-1-2022,41.13,83.62,125.65,181,223.48,830.22
2-1-2022,32.46,73.59,116.08,166.78,222.13,789.78
3-1-2022,43.19,75.65,116.78,148.54,199.24,863.66
4-1-2022,37.49,80.68,113.14,159.97,191.73,784.69
5-1-2022,29.5,66.99,110.18,150.63,197.46,752.03
6-1-2022,44.11,73.61,111.1,139.68,180.13,820.72
7-1-2022,20,64.11,93.61,155.21,183.79,708.09
8-1-2022,19.02,39.02,83.13,113.61,175.21,659
9-1-2022,17.8,36.82,56.82,102.15,132.63,638.22
10-1-2022,30.1,47.9,66.92,74.62,119.95,631.91
11-1-2022,49.81,79.91,97.71,97.02,104.72,691.28
12-1-2022,30.26,80.07,110.17,147.52,146.83,732.03
13-1-2022,39.41,69.67,119.48,140.43,177.78,682.91
14-1-2022,24.45,63.86,94.12,158.89,179.84,729.62
15-1-2022,49.52,73.97,113.38,118.57,183.34,776.5
16-1-2022,51.88,101.4,125.85,162.9,168.09,808.56
17-1-2022,46.4,98.28,147.8,177.73,214.78,824.62
18-1-2022,36.36,82.76,134.64,194.2,224.13,759.03
19-1-2022,51.86,88.22,134.62,171,230.56,855.94
20-1-2022,46.37,98.23,134.59,186.48,222.86,805.22
21-1-2022,49.75,96.12,147.98,180.96,232.85,834.62
22-1-2022,42.1,91.85,138.22,197.73,230.71,819.22
23-1-2022,41.77,83.87,133.62,180.32,239.83,809.34
24-1-2022,36.52,78.29,120.39,175.39,222.09,813.75
