time,Mestput_2,2dagen,3dagen,EVHI,
30/08/2021,47.54,73.69,123.56,802.78,1
31/08/2021,35.65,83.19,109.34,834.77,1
01/09/2021,36.64,72.29,119.83,755.78,1
02/09/2021,33.76,70.4,106.05,742.39,1
03/09/2021,31.63,65.39,102.03,852.95,1
04/09/2021,28.32,59.95,93.71,764.22,1
05/09/2021,19.9,48.22,79.85,636.64,1
06/09/2021,23.05,42.95,71.27,698.5,1
07/09/2021,25.65,48.7,68.6,685.55,1
08/09/2021,22.24,47.89,70.94,650.33,1
09/09/2021,32.38,54.62,80.27,679.69,1
10/09/2021,27.08,59.46,81.7,682.97,1
11/09/2021,42.56,69.64,102.02,786.31,1
12/09/2021,43.47,86.03,113.11,727.66,1
13/09/2021,33.34,76.81,119.37,796.22,1
14/09/2021,21.35,54.69,98.16,718.06,1
15/09/2021,62.91,84.26,117.6,768.23,1
16/09/2021,19.7,82.61,103.96,715.81,1
17/09/2021,24.07,43.77,106.68,675.89,1
18/09/2021,34.71,58.78,78.48,678.69,1
19/09/2021,37.79,72.5,96.57,788.98,1
20/09/2021,15.98,53.77,88.48,691.585,1
22/09/2021,39.1,62.48,78.46,723.62,1
23/09/2021,38.63,77.73,101.11,778.81,1
24/09/2021,34.44,73.07,112.17,734.42,1
25/09/2021,36,70.44,109.07,793.3,1
26/09/2021,44.21,80.21,114.65,747.42,1
27/09/2021,38.57,82.78,118.78,670.09,1
28/09/2021,25.13,63.7,107.91,816.3,1
29/09/2021,33.42,58.55,97.12,604.88,1
30/09/2021,22.57,55.99,81.12,732.17,1
01/10/2021,21.2,43.77,77.19,634.62,1
02/10/2021,40.31,61.51,84.08,677.77,1
03/10/2021,24.82,65.13,86.33,789.75,1
04/10/2021,27.81,52.63,92.94,643,1
05/10/2021,28.7,56.51,81.33,675.34,1
06/10/2021,61.99,90.69,118.5,749.2,1
07/10/2021,37.93,99.92,128.62,689.825,1
08/10/2021,31.47,69.4,131.39,601.375,1
09/10/2021,35.74,67.21,105.14,630.45,1
10/10/2021,36.9,72.64,104.11,792.97,1
11/10/2021,23.5,60.4,96.14,695.55,1
12/10/2021,19.54,43.04,79.94,690.81,1
14/10/2021,35.36,46.3,65.84,587.92,1
15/10/2021,30.9,66.26,77.2,620.11,1
16/10/2021,43.4,74.3,109.66,741.53,1
17/10/2021,52.29,95.69,126.59,732,1
18/10/2021,46.55,98.84,142.24,751.12,1
19/10/2021,40.84,87.39,139.68,804.91,1
20/10/2021,39.46,80.3,126.85,621.5,1
21/10/2021,44.21,83.67,124.51,761.36,1
22/10/2021,31.94,76.15,115.61,799.62,1
23/10/2021,43.97,75.91,120.12,720.81,1
