time,Mestput_2,2dagen,3dagen,4dagen,5dagen,EVHI
28/08/2021,49.87,26.15,47.54,35.65,36.64,737.31
29/08/2021,26.15,47.54,35.65,36.64,33.76,746.06
30/08/2021,47.54,35.65,36.64,33.76,31.63,802.78
31/08/2021,35.65,36.64,33.76,31.63,28.32,834.77
01/09/2021,36.64,33.76,31.63,28.32,19.9,755.78
02/09/2021,33.76,31.63,28.32,19.9,23.05,742.39
03/09/2021,31.63,28.32,19.9,23.05,25.65,852.95
04/09/2021,28.32,19.9,23.05,25.65,22.24,764.22
05/09/2021,19.9,23.05,25.65,22.24,32.38,636.64
06/09/2021,23.05,25.65,22.24,32.38,27.08,698.5
07/09/2021,25.65,22.24,32.38,27.08,42.56,685.55
08/09/2021,22.24,32.38,27.08,42.56,43.47,650.33
09/09/2021,32.38,27.08,42.56,43.47,33.34,679.69
10/09/2021,27.08,42.56,43.47,33.34,21.35,682.97
11/09/2021,42.56,43.47,33.34,21.35,62.91,786.31
12/09/2021,43.47,33.34,21.35,62.91,19.7,727.66
13/09/2021,33.34,21.35,62.91,19.7,24.07,796.22
14/09/2021,21.35,62.91,19.7,24.07,34.71,718.06
15/09/2021,62.91,19.7,24.07,34.71,37.79,768.23
16/09/2021,19.7,24.07,34.71,37.79,15.98,715.81
17/09/2021,24.07,34.71,37.79,15.98,23.38,675.89
18/09/2021,34.71,37.79,15.98,23.38,39.1,678.69
19/09/2021,37.79,15.98,23.38,39.1,38.63,788.98
20/09/2021,15.98,23.38,39.1,38.63,34.44,691.59
21/09/2021,23.38,39.1,38.63,34.44,36,594.19
22/09/2021,39.1,38.63,34.44,36,44.21,723.62
23/09/2021,38.63,34.44,36,44.21,38.57,778.81
24/09/2021,34.44,36,44.21,38.57,25.13,734.42
25/09/2021,36,44.21,38.57,25.13,33.42,793.3
26/09/2021,44.21,38.57,25.13,33.42,22.57,747.42
27/09/2021,38.57,25.13,33.42,22.57,21.2,670.09
28/09/2021,25.13,33.42,22.57,21.2,40.31,816.3
29/09/2021,33.42,22.57,21.2,40.31,24.82,604.88
30/09/2021,22.57,21.2,40.31,24.82,27.81,732.17
01/10/2021,21.2,40.31,24.82,27.81,28.7,634.62
02/10/2021,40.31,24.82,27.81,28.7,61.99,677.77
03/10/2021,24.82,27.81,28.7,61.99,37.93,789.75
04/10/2021,27.81,28.7,61.99,37.93,31.47,643
05/10/2021,28.7,61.99,37.93,31.47,35.74,675.34
06/10/2021,61.99,37.93,31.47,35.74,36.9,749.2
